 0.74557 0.746242 0.754172 0.754644 0.755403 0.745551 0.759742 0.744591 0.763394 0.759239 0.752783 0.746617 0.739661 0.748663 0.748447 0.745557 0.742526 0.755024 0.748085 0.758642
 0.74557 0.746242 0.754172 0.754644 0.755403 0.745551 0.759742 0.744591 0.763394 0.759239 0.752783 0.746617 0.739661 0.748663 0.748447 0.745557 0.742526 0.755024 0.748085 0.758642
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
 0.74557 0.746242 0.754172 0.754644 0.755403 0.745551 0.759742 0.744591 0.763394 0.759239 0.752783 0.746617 0.739661 0.748663 0.748447 0.745557 0.742526 0.755024 0.748085 0.758642
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
 0.74557 0.746242 0.754172 0.754644 0.755403 0.745551 0.759742 0.744591 0.763394 0.759239 0.752783 0.746617 0.739661 0.748663 0.748447 0.745557 0.742526 0.755024 0.748085 0.758642
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
 0.74557 0.746242 0.754172 0.754644 0.755403 0.745551 0.759742 0.744591 0.763394 0.759239 0.752783 0.746617 0.739661 0.748663 0.748447 0.745557 0.742526 0.755024 0.748085 0.758642
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
 0.74557 0.746242 0.754172 0.754644 0.755403 0.745551 0.759742 0.744591 0.763394 0.759239 0.752783 0.746617 0.739661 0.748663 0.748447 0.745557 0.742526 0.755024 0.748085 0.758642
