0;	2299.87
1;	1801.34
2;	1501.51
3;	1299.83
4;	1795.64
5;	1898.61
6;	1406.51
7;	1909.45
8;	1419.76
9;	1213.81
10;	1112.19
11;	1022.57
12;	1109.7
13;	411.048
14;	524.938
15;	420.979
16;	421.125
17;	316.832
18;	615.028
19;	214.136
20;	328.017
21;	323.319
22;	222.474
23;	120.639
24;	27.9125
25;	223.014
26;	19.2265
27;	118.977
28;	120.049
29;	116.959
30;	22.6115
31;	117.208
32;	215.457
33;	29.1826
34;	124.24
35;	14.7902
36;	118.944
37;	122.805
38;	220.638
39;	122.674
40;	120.132
41;	25.9546
42;	215.466
43;	22.2139
44;	19.4441
45;	14.6051
46;	19.8432
47;	120.711
48;	18.1015
49;	9.04378
50;	18.8569
51;	17.3309
52;	14.5589
53;	14.7911
54;	17.6386
55;	12.8484
56;	19.5527
57;	10.4252
58;	19.3501
59;	10.8436
60;	16.1544
61;	7.53716
62;	113.305
63;	15.3157
64;	1.84706
65;	115.162
66;	14.7677
67;	20.8519
68;	12.3912
69;	14.2661
70;	21.7653
71;	4.76517
72;	116.727
73;	111.079
74;	3.38863
75;	21.1458
76;	10.375
77;	15.8602
78;	7.4751
79;	13.1691
80;	15.552
81;	15.601
82;	13.3873
83;	4.62116
84;	8.57855
85;	208.408
86;	14.4355
87;	15.2276
88;	18.1687
89;	12.9621
90;	8.21771
91;	8.55209
92;	5.24522
93;	12.9783
94;	10.376
95;	10.8283
96;	7.46769
97;	6.12267
98;	10.5652
99;	9.4767
100;	4.70095
101;	2.34755
102;	3.42039
103;	5.64868
104;	4.27498
105;	10.7379
106;	11.0127
107;	5.09592
108;	112.029
109;	14.9431
110;	108.39
111;	111.383
112;	6.23545
113;	5.71396
114;	9.13394
115;	7.36156
116;	2.86459
117;	4.00822
118;	10.9295
119;	10.3163
120;	8.00976
121;	8.56132
122;	7.2429
123;	7.36258
124;	6.18495
125;	10.5433
126;	3.61928
127;	2.51973
128;	5.16422
129;	1.7002
130;	6.17206
131;	8.19728
132;	1.05104
133;	103.409
134;	8.97872
135;	5.12101
136;	1.90534
137;	6.16381
138;	-0.161033
139;	3.06144
140;	6.3732
141;	106.42
142;	7.09578
143;	3.24426
144;	1.76111
145;	100.984
146;	3.94721
147;	203.191
148;	6.19225
149;	3.87522
150;	4.26677
151;	3.76661
152;	6.31658
153;	9.44839
154;	5.08682
155;	0.713672
156;	2.9828
157;	109.695
158;	4.69808
159;	2.57729
160;	3.72277
161;	7.652
162;	3.22683
163;	105.001
164;	4.16115
165;	7.4214
166;	4.65793
167;	-0.179831
168;	3.66346
169;	4.57509
170;	2.938
171;	4.37705
172;	9.37678
173;	7.13052
174;	-2.04721
175;	-0.307759
176;	-0.366273
177;	4.18622
178;	6.84348
179;	2.73129
180;	0.305467
181;	1.85392
182;	3.36234
183;	106.666
184;	3.93772
185;	4.90943
186;	2.9486
187;	5.27187
188;	4.31127
189;	0.662026
190;	3.79539
191;	4.01674
192;	2.15756
193;	4.31993
194;	2.11263
195;	3.02718
196;	-0.0877018
197;	1.50831
198;	2.13255
199;	3.98208
200;	3.88542
201;	100.499
202;	8.36304
203;	5.37537
204;	4.87925
205;	4.16296
206;	1.48803
207;	0.971919
208;	0.8851
209;	3.43796
210;	6.80027
211;	5.10031
212;	3.59508
213;	4.23312
214;	4.26853
215;	2.69657
216;	5.01873
217;	4.1171
218;	3.7861
219;	3.62393
220;	5.86474
221;	2.89063
222;	4.15181
223;	4.20987
224;	2.56915
225;	7.32362
226;	1.68983
227;	3.76185
228;	5.01501
229;	100.878
230;	2.67061
231;	2.32215
232;	5.29222
233;	-0.52793
234;	3.72549
235;	3.96915
236;	6.45245
237;	3.69318
