0.755164  0.76614 0.763884    0.761 0.768041 0.760158  0.76562 0.754192 0.776047 0.771816 0.754766 0.751696 0.753541  0.76351 0.762374 0.752864 0.750502 0.767567 0.761223 0.765863
0.755164  0.76614 0.763884    0.761 0.768041 0.760158  0.76562 0.754192 0.776047 0.771816 0.754766 0.751696 0.753541  0.76351 0.762374 0.752864 0.750502 0.767567 0.761223 0.765863
0.755164  0.76614 0.763884    0.761 0.768041 0.760158  0.76562 0.754192 0.776047 0.771816 0.754766 0.751696 0.753541  0.76351 0.762374 0.752864 0.750502 0.767567 0.761223 0.765863
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
0.755164  0.76614 0.763884    0.761 0.768041 0.760158  0.76562 0.754192 0.776047 0.771816 0.754766 0.751696 0.753541  0.76351 0.762374 0.752864 0.750502 0.767567 0.761223 0.765863
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
0.755164  0.76614 0.763884    0.761 0.768041 0.760158  0.76562 0.754192 0.776047 0.771816 0.754766 0.751696 0.753541  0.76351 0.762374 0.752864 0.750502 0.767567 0.761223 0.765863
