0;	1599.33
1;	1695.07
2;	1200.36
3;	1692.29
4;	2293.55
5;	1793.56
6;	1595.65
7;	1191.32
8;	2097.92
9;	688.686
10;	794.213
11;	594.351
12;	89.4962
13;	74.4685
14;	193.561
15;	278.186
16;	-23.7381
17;	183.692
18;	187.122
19;	86.1225
20;	194.064
21;	88.8972
22;	-22.9982
23;	76.5138
24;	80.5198
25;	65.7672
26;	158.547
27;	-29.6471
28;	-49.858
29;	49.3757
30;	69.5019
31;	-38.7697
32;	156.152
33;	-63.4582
34;	-64.2342
35;	-59.0862
36;	-74.1628
37;	-43.6209
38;	-68.764
39;	29.8911
40;	-92.3496
41;	-86.1263
42;	-82.6778
43;	-82.015
44;	-79.801
45;	-74.1852
46;	-89.1347
47;	-95.4136
48;	-91.3265
49;	-95.0609
50;	-107.938
51;	-63.1956
52;	-75.9235
53;	-115.357
54;	-108.902
55;	-116.683
56;	-105.802
57;	-123.803
58;	-102.412
59;	-112.65
60;	-105.409
61;	-113.58
62;	-112.219
63;	-113.909
64;	-118.056
65;	-94.2894
66;	-112.618
67;	-120.071
68;	-105.636
69;	-108.064
70;	-115.26
71;	-110.106
72;	-90.4346
73;	-112.481
74;	-127.561
75;	-121.54
76;	-117.164
77;	-114.197
78;	-127.041
79;	-124.389
80;	-97.2569
81;	-130.751
82;	-108.874
83;	-130.984
84;	-124.054
85;	-115.76
86;	-100.374
87;	-131.477
88;	-115.181
89;	-131.42
90;	-87.4731
91;	-132.73
92;	-0.716047
93;	-134.106
94;	-133.656
95;	-125.688
96;	-104.198
97;	-113.898
98;	-126.233
99;	-124.951
100;	-34.7615
101;	-123.538
102;	-134.837
103;	-133.71
104;	-136.518
105;	-126.319
106;	-113.19
107;	-124.158
108;	-114.231
109;	-136.096
110;	-125.281
111;	-137.016
112;	-136.597
113;	-124.249
114;	-136.942
115;	-135.779
116;	-136.261
117;	-136.699
118;	-137.27
119;	-25.0286
120;	-136.217
121;	-124.484
122;	-137.321
123;	-124.098
124;	-122.462
125;	-137.655
