  -0.0830756     -0.05039   -0.0733297   -0.0728641   -0.0587029
    0.122243     0.112477    0.0972406    0.0826085    0.0891585
  -0.0213666   -0.0165891   -0.0253616   -0.0274329   -0.0255557
     -0.1056    -0.108652    -0.116168    -0.102232   -0.0974655
  -0.0329597   0.00265706   -0.0250801   -0.0189802   -0.0142345
  -0.0238656   -0.0305862   0.00287839   0.00460566   -0.0191901
 -0.00129468 -0.000375508    0.0178246    0.0124763    0.0112541
  -0.0375712   -0.0535433   -0.0246544   -0.0568026   -0.0316323
  -0.0280919   -0.0193134   -0.0435023   -0.0194986   -0.0225424
   0.0448237    0.0443411    0.0282056    0.0406942    0.0305992
