-0.00127962   0.0343809  0.00827809   0.0109753   0.0264325
  0.0701399   0.0599163   0.0466113   0.0318035   0.0376262
  0.0102819     0.01589  0.00607317  0.00513629  0.00855683
 -0.0204717  -0.0211423  -0.0309567  -0.0152454  -0.0090238
  0.0156315   0.0531061   0.0248759    0.032634   0.0383637
-0.00982051  -0.0155134   0.0150026   0.0177996 -0.00403754
  0.0228103   0.0237129   0.0394793    0.035075   0.0365383
  0.0333565   0.0201294   0.0442399   0.0198563   0.0428108
  0.0540118   0.0621825    0.041738   0.0642643   0.0642493
  0.0612387   0.0611688   0.0476138   0.0603012   0.0543519
